Timestamp	id #	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp(1)	cluster #(1)	timestamp(2)	cluster #(2)	timestamp(3)	cluster #(3)	timestamp(4)	cluster #(4)
																																	0:00:12.866	0	0:00:09.189	0	0:00:12.703	0	0:00:13.181	0
																																	0:00:12.866	0	0:00:09.196	0	0:00:12.712	0	0:00:13.308	0
																																	0:00:12.938	0	0:00:09.198	0	0:00:12.818	0	0:00:13.332	0
																																	0:00:12.940	0	0:00:09.198	0	0:00:12.905	0	0:00:13.365	0
																																	0:00:13.009	0	0:00:09.236	0	0:00:12.999	0	0:00:13.393	0
																																	0:00:13.363	0	0:00:09.267	0	0:00:13.218	0	0:00:13.461	0
																																	0:00:13.452	0	0:00:09.322	0	0:00:13.222	0	0:00:13.497	0
																																	0:00:13.474	0	0:00:09.373	0	0:00:13.222	0	0:00:13.503	0
																																	0:00:13.519	0	0:00:09.381	0	0:00:13.309	0	0:00:13.584	0
																																	0:00:13.616	0	0:00:09.389	0	0:00:13.309	0	0:00:13.638	0
																																	0:00:13.716	0	0:00:09.420	0	0:00:13.340	0	0:00:13.728	0
																																	0:00:13.825	0	0:00:09.511	0	0:00:13.517	0	0:00:13.914	0
																																	0:00:13.886	0	0:00:09.513	0	0:00:13.553	0	0:00:14.105	0
																																	0:00:14.008	0	0:00:09.536	0	0:00:13.597	0	0:00:14.430	0
																																	0:00:14.177	0	0:00:09.613	0	0:00:13.622	0	0:00:14.637	0
																																	0:00:14.204	0	0:00:09.634	0	0:00:13.653	0	0:00:14.644	0
																																	0:00:14.231	0	0:00:09.670	0	0:00:13.661	0	0:00:14.683	0
																																	0:00:14.263	0	0:00:09.712	0	0:00:13.672	0	0:00:14.791	0
