Timestamp	id #	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp1	cluster1
180430813	4000		0	0	0	1000	0	0	0	0	180430813	180430813	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35120871.2	1
182431330	4000		0	0	0	1000	0	0	0	0	182431330	182431330	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35123179.95	1
184431134	4000		0	0	0	1000	0	0	0	0	184431134	184431134	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35124974.95	1
186430951	4000		0	0	0	1000	0	0	0	0	186430951	186430951	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35129454.95	1
188431026	4000		0	0	0	1000	0	0	0	0	188431026	188431026	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35135549.95	1
190431494	4000		0	0	0	1000	0	0	0	0	190431494	190431494	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35161942.89	1
192431708	4000		0	0	0	1000	0	0	0	0	192431708	192431708	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35168445.39	1
194430366	4000		0	0	0	1000	0	0	0	0	194430366	194430366	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35172875.39	1
196430854	4000		0	0	0	1000	0	0	0	0	196430854	196430854	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35200820.39	1
198430437	4000		0	0	0	1000	0	0	0	0	198430437	198430437	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36436068.85	1
200430787	4000		0	0	0	1000	0	0	0	0	200430787	200430787	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36439247.6	1
202430834	4000		0	0	0	1000	0	0	0	0	202430834	202430834	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36447647.6	1
204430822	4000		0	0	0	1000	0	0	0	0	204430822	204430822	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36454632.6	1
206431245	4000		0	0	0	1000	0	0	0	0	206431245	206431245	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36458693.85	1
208431267	4000		0	0	0	1000	0	0	0	0	208431267	208431267	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36462907.6	1
210431376	4000		0	0	0	1000	0	0	0	0	210431376	210431376	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	36477772.6	1
