Timestamp	id	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp1	cluster1
88886852	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	88886852	88886852	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	8226750.555	1
89886773	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	89886773	89886773	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	8258450.555	1
90925031	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	90925031	90925031	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	8350325.555	1
91887911	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	91887911	91887911	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	8375600.555	1
92888378	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	92888378	92888378	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	8544094.845	1
93887572	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	93887572	93887572	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	8840989.134	1
94887529	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	94887529	94887529	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	8886989.134	1
95887913	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	95887913	95887913	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	8922758.424	1
96887998	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	96887998	96887998	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	9195902.714	1
97888568	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	97888568	97888568	0	1	C:\DataWave\Sounds\bat_restrained\app1.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	9211977.714	1
